Date,Open,High,Low,Close,Volume,Adj Close
1,5077.299805,5122.509766,5067.740234,5122.509766,103369500,5122.509766
2,5075.609863,5090.919922,5063.069824,5089.640137,73882900,5089.640137
3,5063.700195,5073.22998,5044.419922,5069.040039,86407300,5069.040039
4,5027.129883,5048.109863,5008.669922,5046.200195,85350200,5046.200195
5,4975.089844,5017.879883,4971.069824,5017.430176,94079200,5017.430176
6,5027.189941,5027.189941,5003.580078,5020.899902,68967900,5020.899902
7,4996.620117,5032.939941,4980.560059,5032.759766,89305600,5032.759766
8,4969.109863,5005.060059,4953.569824,4994.700195,99409000,4994.700195
9,5030.200195,5054.910156,4990.640137,5002.430176,93549600,5002.430176
10,5008.080078,5030.060059,5004.080078,5012.160156,64225900,5012.160156
11,5006.709961,5037.850098,5001.390137,5029.240234,160166500,5029.240234
12,5027.100098,5031.569824,5004.620117,5013.379883,113121800,5013.379883